"ID","cohort","Cer(d18:0_24:1)","Cer(d20:0_22:1)","Cer(d20:1_14:0)","Cer(d20:1_16:0)","Cer(d20:1_22:0)","Cer(d24:0_19:1)","Cer(d42:3)","Cer(m20:1_22:0","Cer(m42:1","Hex1Cer(d34:1","Hex1Cer(d34:1)","Hex2Cer(d34:1)","LPE(18:2)-H","LPE(20:4)-H","PC(14:0_20:4)","PC(16:0_18:2)","PC(16:0e_20:4)","PC(16:1e_18:2)","PC(16:1e_20:4)","PC(17:0_18:2)","PC(18:0_18:1)","PC(18:0_18:2)","PC(18:1_18:1)","PC(18:1_22:6)","PC(18:2_18:2)","PC(34:4D8)","PC(8:0e_10:0)","PE(16:0_20:4)-H","PE(16:0_22:6)-H","PE(16:1e_20:4)-H","PE(18:0_20:4)-H","PE(18:1_20:4)-H","PE(18:2e_20:4)-H","PI(16:0_18:2)-H","PI(16:0_20:4)-H","PI(18:0_18:2)-H","PI(18:0_20:4)-H","PI(22:0_18:3)-H","SM(d36:2D9)"
"1-46 CBC",2022,2036596.424,1460032.183,410737.8966,56227.91604,393914.102,780005.4398,48508.46094,639407.4529,61018.71885,84175.30007,565995.1979,546973.0809,194385.5252,558797.1105,144723.16671059,2779618.223,148066.50042748,2771639.2622318,184522.12547361,72819.67599,188.2936908,449892.3233,1126506.391,185308.84057046,5399453.736,152132.0916,40387.93762,138371.6245,132296.0692,10603.60301,402330.8057,88656.37237,112550904.8,198949.7146,679463.7741,348106.9406,3452630.48,404874.3238,173129.1439
"1-49 CBC",2022,6681501.022,1508604.329,1321980.248,53951.38427,196941.6214,346826.2379,71636.39558,284445.4257,57182.35593,145801.0279,1915674.008,2543101.494,106096.4925,402553.8711,20396.635272474,1762198.93506985,44477.16389782,43044.242143894,906.8774981,90079.33375,153150.5886,758822.1582,435858.004,4201.820613,663767.6211,430344.8454,276590.619375856,473460.789,553189.2443,423447.81251266,549301.0267,104627.5315,19512.6141,1740659.637,1069716.334,3986120.205,10071458.58,259466.2861,1098.793427
"1-5 CBC",2022,1170448.825,862484.5982,746525.3982,25826521.4103274,124065.9446,179120.2496,74597.90495,193356.1964,60371.93372,374441.4023,796419.4295,517541.783,148647.7743,501105.9013,33254.80711354,806.5885016,52790.98078365,319609.999314879,43672.339109434,65928.30457,137272.9022,1091443.669,704897.4706,86569.8997297099,672628.8633,193753.0432,928699.7466,193203.8338,165609.3642,96160.06319,212011.4711,66918.63387,9295.23129,488168.264,335812.6379,1048244.411,3208170.377,764781.0126,69816.00894
"1-50 CBC",2022,3411679.193,1614845.129,475106.2395,13714.954,299344.6145,546138.8911,17265.91453,298867.0061,37297.18947,109876.5495,590599.3595,703102.5073,357241.2099,616346.5579,39436.24983981,2497973.765,48963.14318,1956518.04197196,204038.3483,45807.40589,95041.09679,97937.15733,12799420.73,114721.3546,1609875.625,112020.5842,21342.47405,309504.7764,142530.8573,232003.2825,723632.6851,199109.5906,14201521.05,241015.6059,920928.1206,644166.7718,3070869.892,310669.7742,2767857.067
"1-51 CBC",2022,2007690.78,1577958.661,413283.986,53760.13545,457398.0085,525856.0318,35790.49384,319929.1131,39424.39535,104695.9316,1135282.517,2914506.405,387721.1587,1002024.75,2589.4596,2604982.69,66358.88212503,52091.29727,110857.235402302,64703.75158,31354.22885,83303.52286,2954724.269,375623.7507,23907646.41,263747.0463,90117.55326,503446.1909,413383.5557,243916.4624,1155894.173,86419.17377,34763422.55,766000.2852,1167382.511,1566107.963,5933752.152,194088.8641,935975.4087
"1-52 CBC",2022,1465604.903,2758207.278,409494.0653,61926.17931,86287.49637,595103.3258,43550.6654,104736.1264,212790.2037,56886.2574,515335.548,390843.6168,149721.6346,396224.0358,31821.80463184,1851203.49,81988.26905871,2327819.59716233,244132.572,188520.366,549459.2305,1382855.888,497041.8666,142660.0106,4177351.119,137792.6577,423345.433687208,130011.7962,114120.9279,50315.22778,260660.6508,46403.1491,57055199.92,140003.78,512872.894,242434.4833,2895245.077,380631.6281,160406.2907
"1-53 CBC",2022,1609552.278,3990016.888,320230.1696,32904.44957,98500.16958,427595.6827,17495.18486,148906.6224,88505.74981,46761.54761,516252.5283,582577.6305,585084.3716,948798.2047,108891.732543616,2472283.159,83666.35145207,718158.226655566,148092.02251049,93187.8168852301,3228.214512,1037920.506,2680755.241,143130.66108849,2276501.956,353938.3681,72328.28084,782503.0951,584826.559,41365.88429,416197.9344,2365.925875,201470.9828,265956.9872,556946.5761,844250.69,3475592.902,362580.1587,181989.4461
"1-54 CBC",2022,3978112.251,1959761.793,416519.3556,47553.14975,156181.8545,387459.2272,132947.68900258,295752.6887,43870.50018,147150.4208,484409.2414,263859.185,242149.0308,469058.4774,37982.28235529,982843.9499,85955.24562865,515627.91805098,149876.70994926,4876.018224,484990.2238,3297612.651,2874798.268,146063.0424398,3504115.987,274089.9323,152549.2969,14573.57837,60084.22472,216850.89705553,52166.16202,66747.1637832,8382109.912,61763.69185,35863.26423,136543.3349,450663.413,303473.3291,995275.90640239
"1-6 CBC",2022,1921062.052,1201489.632,444678.559,65923970.0088318,79485.32042,84024.08492,38493.68167,150027.3803,86968.08383,125246.1258,955583.504,1741726.114,66720.81637,173802.3868,28673.69980497,223.0156128,50261.97439817,24443.84789732,35616.211557267,50836.10341,132591.9125,707286.4791,2657168.552,11451.71199,808053.4052,153377.9072,9212.787654,144497.9004,194967.9719,239573.19728507,227010.586,55062.546,25363.81295,622889.1193,275573.0878,2417302.871,3916450.978,130391.1557,72568.96898
"1-8 CBC",2022,1047576.753,950532.4633,1209392.753,60994011.3724167,95391.75764,97172.23336,134342.1785,144920.6659,61647.82979,305909.3511,723615.0018,1434536.255,64317.18602,134589.1095,77664.889687026,4947.180377,5293.855333,7079.900154,2194.852531,73175.606,2074.638079,971943.4045,669657.5877,44878.02793,6712352.892,199341.7868,292649.488132756,1165305.822,957771.9528,125141.0906,844474.0746,65650.82724,35979.29924,727380.1982,616890.2348,1908711.538,4601548.669,226533.3916,382282.8362
"1-9 CBC",2022,1174643.787,1146270.5,1031739.284,91167990.1586424,75835.57049,216132.9061,121329.0505,124487.6016,67289.08519,200788.0492,603303.197,1201488.227,152540.5171,402949.772,21887.953839212,1216.604227,10625.5014,1076.913346,5978.73344,84412.19994,228140.9826,1470640.749,1267691.673,136537.1196,3250833.775,239080.2354,590943.7692,618817.5187,726410.0686,283520.2882,820892.3688,172473.5889,15553.19436,1299774.63,723336.0234,2474695.137,4645089.209,192240.5079,238535.9521
